Category,Aldi-Item,Aldi-Link,Aldi-Multiplier,Kroger-Item,Kroger-Link,Kroger-Multiplier,Walmart-Item,Walmart-Link,Walmart-Multiplier,Ruler-Item,Ruler-Link,Ruler-Multiplier
Flour (5lb),Baker's Corner All Purpose Flour,https://www.instacart.com/store/aldi/products/18648338,1,Bleached All Purpose Enriched Flour,https://www.instacart.com/store/kroger/products/3286492,1,"Great Value All-Purpose Flour, 5LB Bag",https://www.instacart.com/store/walmart/products/20552184,1,Kroger Bleached All Purpose Enriched Flour,https://www.instacart.com/store/ruler-foods/products/3286492,1
Veg Oil (48oz),Carlini Vegetable Oil,https://www.instacart.com/store/aldi/products/20027984,1,Vegetable Oil,https://www.instacart.com/store/kroger/products/36193,1,"Great Value Vegetable Oil, 48 fl oz",https://www.instacart.com/store/walmart/products/20662260,1,"Kroger Vegetable Oil, Pure",https://www.instacart.com/store/ruler-foods/products/36193,1
Broth (32oz),Chef's Cupboard Reduced Sodium Chicken Broth,https://www.instacart.com/store/aldi/products/18647589,1,Beef Broth,https://www.instacart.com/store/kroger/products/21825479,1,"Great Value Beef Broth, 32 oz",https://www.instacart.com/store/walmart/products/17009743,1,Kroger Chicken Broth,https://www.instacart.com/store/ruler-foods/products/21824319,1
Spices,Stonemill Onion Powder,https://www.instacart.com/store/aldi/products/19688294,1,Smidge and Spoon Garlic Powder,https://www.instacart.com/store/kroger/products/19099247,1,"Great Value Garlic Powder, 3.4 oz",https://www.instacart.com/store/walmart/products/21914700,1,"Smidge and Spoon Spices, Onion Powder",https://www.instacart.com/store/ruler-foods/products/19099248,1
Diced Tomatoes and Peppers (10oz),Casa Mamita Diced Tomatoes with Green Chilies,https://www.instacart.com/store/aldi/products/18648903,1,Chili Ready Diced Tomatoes,https://www.instacart.com/store/kroger/products/19182031,1,"Great Value Mild Diced Tomatoes with Green Chilies, 10 Oz",https://www.instacart.com/store/walmart/products/20539598,1,Kroger Original Diced Tomatoes With Green Chilies,https://www.instacart.com/store/ruler-foods/products/38328,1
Vegetables (15oz),Happy Harvest Whole Kernel Corn,https://www.instacart.com/store/aldi/products/20363173,1,Whole Kernel Corn,https://www.instacart.com/store/kroger/products/16378872,1,"Great Value Whole Kernel Corn, Canned Vegetables,",https://www.instacart.com/store/walmart/products/21919142,1,"Kroger Corn, Sweet Golden, Whole Kernel",https://www.instacart.com/store/ruler-foods/products/16380149,1
Rice (28oz),Earthly Grains Instant White Rice,https://www.instacart.com/store/aldi/products/18647722,1,Instant Microwaveable White Rice,https://www.instacart.com/store/kroger/products/16379130,1,"Great Value Instant White Rice, 28 oz",https://www.instacart.com/store/walmart/products/20575068,1,Kroger Instant Microwaveable White Rice,https://www.instacart.com/store/ruler-foods/products/38215,2
Coffee (30oz),Beaumont Classic Roast Ground Coffee,https://www.instacart.com/store/aldi/products/18647685,1,Ground Coffee,https://www.instacart.com/store/kroger/products/17179295,1,Ground Coffee,https://www.instacart.com/store/walmart/products/20555581,1,"Kroger Premium Blend Ground Coffee, Medium Roast",https://www.instacart.com/store/ruler-foods/products/17019946,1
Butter Sticks (4),Countryside Creamery Salted Butter Quarters,https://www.instacart.com/store/aldi/products/18648084,1,Salted Butter Sticks,https://www.instacart.com/store/kroger/products/3291859,1,"Great Value Sweet Cream Unsalted Butter, 16 oz",https://www.instacart.com/store/walmart/products/20553802,1,Kroger Salted Butter,https://www.instacart.com/store/ruler-foods/products/3291859,1
Cinnamon rolls,Bake House Creations Cinnamon Rolls with Icing,https://www.instacart.com/store/aldi/products/18649138,1,Cinnamon Rolls with Icing,https://www.instacart.com/store/kroger/products/16380365,1,"Great Value Original Cinnamon Rolls with Icing, 8 Count",https://www.instacart.com/store/walmart/products/43698,1,Kroger Cinnamon Rolls with Icing,https://www.instacart.com/store/ruler-foods/products/16380365,1
Eggs (12),Goldhen Grade A Large Eggs,https://www.instacart.com/store/aldi/products/115095,1,Large White Eggs,https://www.instacart.com/store/kroger/products/154986,1,"Great Value Large White Eggs, 12 Count",https://www.instacart.com/store/walmart/products/21911007,1,Kroger Large Eggs,https://www.instacart.com/store/ruler-foods/products/3286006,1
Shredded cheese (32oz),Happy Farms Shredded Mild Cheddar Cheese,https://www.instacart.com/store/aldi/products/19270477,1,Kroger Shredded Sharp Cheddar Cheese,https://www.instacart.com/store/kroger/products/259291,1,"Great Value Finely Shredded Sharp Cheddar Cheese, 16 oz",https://www.instacart.com/store/walmart/products/20636920,1,Kroger Shredded Sharp Cheddar Cheese,https://www.instacart.com/store/ruler-foods/products/259291,1
Pop (12pk),Coca-Cola Coke Fridge Pack,https://www.instacart.com/store/aldi/products/35023,1,Pop,https://www.instacart.com/store/kroger/products/35023,1,"Coca-Cola Soda Soft Drink, 12 fl oz, 12 Pack",https://www.instacart.com/store/walmart/products/35023,1,Coca-Cola Coke Fridge Pack,https://www.instacart.com/store/ruler-foods/products/35023,1
Water (24pk),PurAqua Natural Spring Water,https://www.instacart.com/store/aldi/products/23123337,1,Water - 24pk,https://www.instacart.com/store/kroger/products/153940,1,"Great Value Purified Drinking Water, 16.9 Fl Oz, 24 Count",https://www.instacart.com/store/walmart/products/20661979,1,Kroger Purified Drinking Water 24-Pack,https://www.instacart.com/store/ruler-foods/products/153940,1
Frozen veggies (12oz),Season's Choice Steam Cut Green Beans,https://www.instacart.com/store/aldi/products/19914212,1,Frozen veggies,https://www.instacart.com/store/kroger/products/58642,1,"Great Value Cut Green Beans, 12 oz (Frozen)",https://www.instacart.com/store/walmart/products/21881779,1,Kroger Mixed Vegetables,https://www.instacart.com/store/ruler-foods/products/154447,1
Pizza Rolls (90-100),Mama Cozzi Pepp Pizza Snacks 90ct,https://www.instacart.com/store/aldi/products/20681709,1,Pepperoni Pizza Snack Rolls,https://www.instacart.com/store/kroger/products/17179892,1,"Totino's Pizza Rolls, Pepperoni Flavored, Frozen Snacks, 48.85 oz, 100 ct",https://www.instacart.com/store/walmart/products/21306760,1,"Kroger Pizza Snack Rolls, Combination, Sausage & Pepperoni",https://www.instacart.com/store/ruler-foods/products/17179892,1
Chicken Breast (48oz),Kirkwood Fresh Chicken Breasts,https://www.instacart.com/store/aldi/products/19396954,1,Chicken Breast,https://www.instacart.com/store/kroger/products/22114848,1,"Tyson All Natural, Fresh, Boneless, Skinless Chicken Breast",https://www.instacart.com/store/walmart/products/17003236,1,Heritage Farm Boneless Skinless Chicken Breasts,https://www.instacart.com/store/ruler-foods/products/22114848,1
Sausage (5pk),Italian Mild Sausage,https://www.instacart.com/store/aldi/products/19374778,1,Sausage,https://www.instacart.com/store/kroger/products/301520,1,"Great Value Original Bratwurst, 5 Links, 1 lb 3 ",https://www.instacart.com/store/kroger/products/192921,1,Kroger Bratwurst Sausage,https://www.instacart.com/store/ruler-foods/products/192921,1
